0ad a26-12
atomicparsley 20221229.172126.d813aa6-1
atomix 3.34.0-2
atool 0.39.0-8
atop 2.10.0-1
atril 1.26.1-1
attica5 5.115.0-1
attr 2.5.2-1
atuin 18.0.1-1
aubio 0.4.9-16
audacious 4.3.1-1
audacious-plugins 4.3.1-2
audacity 1:3.4.2-2
audaspace 1.4.0-2
audex 0.96.2-1
audio-convert 0.3.1.1-9
audiocd-kio 23.08.5-1
audiofile 0.3.6-8
audiotube 23.08.5-1
audit 4.0-1
augeas 1.14.1-1
aura-browser 5.27.10-1
aurpublish r43.g3b978be-1
auth-tarball-from-git 0.2.0-1
authoscope 0.8.1-2
auto-multiple-choice 1.6.0-2
autoconf 2.72-1
autoconf-archive 1:2023.02.20-1
autoconf2.13 2.13-7
autocutsel 0.10.1-2
autogen 5.18.16-5
automake 1.16.5-2
autopep8 1:2.0.4-1
autorandr 1.14-1
autossh 1.4g-2
autotiling-rs 0.1.3-1
av1an 0.4.2-1
avahi 1:0.8+r194+g3f79789-1
avfs 1.1.5-1
avidemux 2.8.1-3
avisynthplus 3.7.3-1
avldrums.lv2 0.7.2-1
avogadro-crystals 1.99.0-1
avogadro-fragments 1.99.0-1
avogadro-molecules 1.99.0-1
avogadrolibs 1.99.0-1
avr-binutils 2.41-1
avr-gcc 13.2.0-2
avr-gdb 13.2-1
avr-libc 2.1.0-3
avrdude 1:7.3-1
awesome 4.3-3
awesome-terminal-fonts 1.1.0-4
aws-c-auth 0.7.1-1
aws-c-cal 0.6.1-1
aws-c-common 0.9.0-1
aws-c-compression 0.2.17-1
aws-c-event-stream 0.3.1-1
aws-c-http 0.7.11-1
aws-c-io 0.13.30-1
aws-c-mqtt 0.8.14-1
aws-c-s3 0.3.14-1
aws-c-sdkutils 0.1.12-1
aws-checksums 0.1.17-1
aws-cli 1.32.34-1
aws-cli-v2 2.15.19-1
aws-crt-cpp 0.20.7-1
aws-sdk-cpp 1.11.124-1
aws-vault 7.2.0-1
awstats 7.9-1
awxkit 23.8.0-1
axel 2.17.13-1
ayatana-ido 0.10.1-1
b3sum 1.5.0-1
b4 0.13.0-1
b43-fwcutter 019-4
babel-cli 7.21.0-1
babel-core 7.21.4-1
babeld 1.12.2-1
babeltrace 1.5.11-1
babeltrace2 2.0.4-1
babl 0.1.108-1
backuppc 4.4.0-7
bacon 2.14.1-1
badvpn 1.999.130-7
baidupcs-go 3.9.3-2
baka-mplayer 2.0.4-5
baloo-widgets 23.08.5-1
baloo5 5.115.0-1
balsa 2.6.4-1
bam 0.5.1-2
bamf 0.5.6-1
bandit 1.7.7-1
bandwhich 0.22.2-1
banner 1.3.2-10
baobab 45.0-1
barcode 0.99-5
baresip 3.9.0-1
barrage 1.0.7-1
barrier 2.4.0-2
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bash-language-server 5.1.2-1
bash-preexec 0.5.0-2
bashbrew 0.1.1-2
bashburn 3.1.0-5
bashrun 0.16.1-5
bashtop 0.9.25-1
bass 1.2-13
bat 0.24.0-1
bat-extras 2023.09.19-1
batctl 2023.1-1
bats 1.10.0-3
bats-assert 2.1.0-2
bats-file 0.4.0-1
bats-support 0.3.0-5
bazel 7.0.2-1
bbpager 0.4.7-9
bbswitch 0.8-653
bc 1.07.1-4
bcachefs-tools 3:1.6.3-1
bcc 0.28.0-2
